district_code,district_name,city_code
01,Cibinong,01
02,Gunung Putri,01
03,Citeureup,01
04,Sukaraja,01
05,Babakan Madang,01
06,Jonggol,01
07,Cileungsi,01
08,Cariu,01
09,Sukamakmur,01
11,Gunung Sindur,01
12,Kemang,01
13,Bojong Gede,01
14,Leuwiliang,01
15,Ciampea,01
16,Cibungbulang,01
17,Pamijahan,01
18,Rumpin,01
19,Jasinga,01
10,Parung,01
06,Cimenyan,04
07,Cilengkrang,04
08,Bojongsoang,04
09,Margahayu,04
10,Margaasih,04
11,Katapang,04
12,Dayeuhkolot,04
13,Banjaran,04
14,Pameungpeuk,04
16,Arjasari,04
17,Cimaung,04
25,Cicalengka,04
26,Nagreg,04
27,Cikancung,04
28,Rancaekek,04
29,Ciparay,04
30,Pacet,04
31,Kertasari,04
32,Baleendah,04
34,Solokanjeruk,04
35,Paseh,04
36,Ibun,04
37,Soreang,04
38,Pasirjambu,04
39,Ciwidey,04
40,Rancabali,04
44,Cangkuang,04
46,Kutawaringin,04
05,Cileunyi,04
15,Pangalengan,04
33,Majalaya,04
01,Tarumajaya,16
02,Babelan,16
03,Sukawangi,16
04,Tambelang,16
05,Tambun Utara,16
06,Tambun Selatan,16
07,Cibitung,16
08,Cikarang Barat,16
09,Cikarang Utara,16
10,Karang Bahagia,16
11,Cikarang Timur,16
12,Kedung Waringin,16
13,Pebayuran,16
14,Sukakarya,16
16,Cabangbungin,16
17,Muaragembong,16
18,Setu,16
19,Cikarang Selatan,16
20,Cikarang Pusat,16
21,Serang Baru,16
22,Cibarusah,16
15,Sukatani,16
23,Bojongmangu,16
01,Lembang,17
02,Parongpong,17
03,Cisarua,17
05,Cipeundeuy,17
06,Ngamprah,17
07,Cipatat,17
08,Padalarang,17
09,Batujajar,17
10,Cihampelas,17
12,Cipongkor,17
13,Rongga,17
14,Sindangkerta,17
15,Gununghalu,17
16,Saguling,17
04,Cikalongwetan,17
11,Cililin,17
01,Sukasari,73
02,Coblong,73
03,Babakan Ciparay,73
04,Bojongloa Kaler,73
05,Andir,73
06,Cicendo,73
07,Sukajadi,73
08,Cidadap,73
09,Bandung Wetan,73
10,Astana Anyar,73
11,Regol,73
12,Batununggal,73
13,Lengkong,73
14,Cibeunying Kidul,73
15,Bandung Kulon,73
16,Kiaracondong,73
17,Bojongloa Kidul,73
18,Cibeunying Kaler,73
19,Sumur Bandung,73
20,Antapani,73
24,Arcamanik,73
25,Cibiru,73
26,Ujungberung,73
27,Gedebage,73
28,Panyileukan,73
29,Cinambo,73
30,Mandalajati,73
21,Bandung Kidul,73
22,Buahbatu,73
23,Rancasari,73
