subdistrict_code,subdistrict_name,district_code,latitude,longitude,timezone
1001,Pondok Rajeg,01,-6.45630019,106.81987843,Asia/Jakarta
1002,Karadenan,01,-6.51694652,106.81044882,Asia/Jakarta
1003,Harapanjaya,01,-6.46144199,106.83599587,Asia/Jakarta
1004,Nanggewer,01,-6.51212388,106.82931177,Asia/Jakarta
1005,Nanggewer Mekar,01,-6.50332807,106.8356789,Asia/Jakarta
1006,Cibinong,01,-6.48947964,106.85314415,Asia/Jakarta
1007,Pakansari,01,-6.48806195,106.83497864,Asia/Jakarta
1008,Tengah,01,-6.47658502,106.82597583,Asia/Jakarta
1009,Sukahati,01,-6.49301256,106.81281704,Asia/Jakarta
1010,Ciriung,01,-6.46549182,106.86606201,Asia/Jakarta
1011,Cirimekar,01,-6.47394458,106.85606641,Asia/Jakarta
1012,Pabuaran,01,-6.46258323,106.8489532,Asia/Jakarta
1013,Pabuaran Mekar,01,-6.44475686,106.84808445,Asia/Jakarta
2001,Wanaherang,02,-6.4164817,106.94501393,Asia/Jakarta
2002,Bojong Kulur,02,-6.32120315,106.96935171,Asia/Jakarta
2003,Ciangsana,02,-6.35602236,106.95875407,Asia/Jakarta
2004,Gunung Putri,02,-6.4625472,106.8944365,Asia/Jakarta
2005,Bojong Nangka,02,-6.43132672,106.90253305,Asia/Jakarta
2006,Tlajung Udik,02,-6.44598697,106.91390333,Asia/Jakarta
2007,Cicadas,02,-6.43239257,106.92811793,Asia/Jakarta
2008,Cikeas Udik,02,-6.40387832,106.92717446,Asia/Jakarta
2009,Nagrak,02,-6.3849917,106.94592534,Asia/Jakarta
2010,Karanggan,02,-6.45664754,106.88574465,Asia/Jakarta
2001,Puspasari,03,-6.47613118,106.87450418,Asia/Jakarta
2002,Citeureup,03,-6.48060589,106.89257468,Asia/Jakarta
2004,Cibanon,04,-6.62925948,106.84411215,Asia/Jakarta
2005,Nagrak,04,-6.61833442,106.8558156,Asia/Jakarta
2006,Sukatani,04,-6.60872126,106.84103067,Asia/Jakarta
2007,Sukaraja,04,-6.60042934,106.8356774,Asia/Jakarta
2008,Cikeas,04,-6.59161727,106.84877298,Asia/Jakarta
2009,Pasir Jambu,04,-6.53540122,106.81044686,Asia/Jakarta
2010,Cimandala,04,-6.52975059,106.82442352,Asia/Jakarta
2011,Cijujung,04,-6.53097045,106.83671739,Asia/Jakarta
2012,Cadasngampar,04,-6.57344394,106.84099789,Asia/Jakarta
2013,Pasirlaja,04,-6.551076,106.83655408,Asia/Jakarta
2001,Cijayanti,05,-6.60189311,106.87024075,Asia/Jakarta
2002,Sumurbatu,05,-6.57733591,106.87883944,Asia/Jakarta
2003,Sentul,05,-6.52098799,106.85133516,Asia/Jakarta
2004,Karang Tengah,05,-6.59841004,106.93723018,Asia/Jakarta
2005,Cipambuan,05,-6.55755646,106.84574629,Asia/Jakarta
2006,Kadumanggu,05,-6.54483353,106.85484562,Asia/Jakarta
2007,Citaringgul,05,-6.56893897,106.85475499,Asia/Jakarta
2008,Babakan Madang,05,-6.56514878,106.86693356,Asia/Jakarta
2009,Bojong Koneng,05,-6.61038936,106.90618917,Asia/Jakarta
2001,Sukamaju,06,-6.44991713,107.04995682,Asia/Jakarta
2002,Sirnagalih,06,-6.47321252,107.09047565,Asia/Jakarta
2003,Singajaya,06,-6.47079738,107.04570858,Asia/Jakarta
2004,Sukasirna,06,-6.49643712,107.05586499,Asia/Jakarta
2005,Sukanegara,06,-6.52217975,107.03611758,Asia/Jakarta
