"forecast_id","subdistrict_id","utc_datetime","local_datetime","time_index","analysis_date","weather_condition_id","wind_direction_degrees","wind_direction","wind_direction_to","wind_speed","temperature","cloud_cover_percentage","precipitation_probability","humidity","visibility_meters","visibility_text","created_at","updated_at"
1,1,2025-07-19 07:00:00.000,2025-07-19 14:00:00.000,"6-7",2025-07-19 00:00:00.000,1,92,E,W,5.30,33.00,47,0.00,43,8996,< 9 km,2025-07-19 06:39:02.951,2025-07-19 06:39:02.951
2,1,2025-07-20 01:00:00.000,2025-07-20 08:00:00.000,"24-25",2025-07-19 00:00:00.000,3,17,N,S,1.90,28.00,93,0.00,64,9006,< 10 km,2025-07-19 06:39:02.971,2025-07-19 06:39:02.971
3,1,2025-07-20 04:00:00.000,2025-07-20 11:00:00.000,"27-28",2025-07-19 00:00:00.000,1,48,NE,SW,3.40,32.00,19,0.00,48,8990,< 9 km,2025-07-19 06:39:33.130,2025-07-19 06:39:33.130
4,1,2025-07-20 07:00:00.000,2025-07-20 14:00:00.000,"30-31",2025-07-19 00:00:00.000,1,182,S,N,6.30,34.00,41,0.00,38,9013,< 10 km,2025-07-19 06:39:33.132,2025-07-19 06:39:33.132
5,1,2025-07-20 10:00:00.000,2025-07-20 17:00:00.000,"33-34",2025-07-19 00:00:00.000,1,346,NW,SE,5.20,28.00,36,0.10,65,8995,< 9 km,2025-07-19 06:40:03.155,2025-07-19 06:40:03.155
6,1,2025-07-20 13:00:00.000,2025-07-20 20:00:00.000,"36-37",2025-07-19 00:00:00.000,1,183,S,N,4.50,26.00,55,0.20,78,8988,< 9 km,2025-07-19 06:40:03.171,2025-07-19 06:40:03.171
7,1,2025-07-20 19:00:00.000,2025-07-21 02:00:00.000,"42-43",2025-07-19 00:00:00.000,1,180,S,N,1.90,25.00,48,0.00,79,8994,< 9 km,2025-07-19 06:40:45.055,2025-07-19 06:40:45.055
8,1,2025-07-20 16:00:00.000,2025-07-20 23:00:00.000,"39-40",2025-07-19 00:00:00.000,1,201,S,N,5.90,25.00,58,0.00,80,9000,< 10 km,2025-07-19 06:40:45.059,2025-07-19 06:40:45.059
9,1,2025-07-21 01:00:00.000,2025-07-21 08:00:00.000,"48-49",2025-07-19 00:00:00.000,0,98,E,W,3.70,28.00,2,0.00,62,9007,< 10 km,2025-07-19 06:41:45.062,2025-07-19 06:41:45.062
10,1,2025-07-20 22:00:00.000,2025-07-21 05:00:00.000,"45-46",2025-07-19 00:00:00.000,1,98,E,W,3.70,25.00,26,0.00,81,9007,< 10 km,2025-07-19 06:41:45.065,2025-07-19 06:41:45.065
11,1,2025-07-21 04:00:00.000,2025-07-21 11:00:00.000,"51-52",2025-07-19 00:00:00.000,0,75,NE,SW,4.20,32.00,10,0.00,47,8985,< 9 km,2025-07-19 06:42:15.102,2025-07-19 06:42:15.102
12,1,2025-07-21 07:00:00.000,2025-07-21 14:00:00.000,"54-55",2025-07-19 00:00:00.000,1,75,NE,SW,4.20,33.00,52,0.00,40,8985,< 9 km,2025-07-19 06:42:15.149,2025-07-19 06:42:15.149
13,1,2025-07-21 10:00:00.000,2025-07-21 17:00:00.000,"57-58",2025-07-19 00:00:00.000,1,24,N,S,2.90,28.00,37,0.00,61,9009,< 10 km,2025-07-19 06:42:45.134,2025-07-19 06:42:45.134
14,1,2025-07-21 13:00:00.000,2025-07-21 20:00:00.000,"60-61",2025-07-19 00:00:00.000,1,24,N,S,2.90,27.00,45,0.00,70,9009,< 10 km,2025-07-19 06:42:45.171,2025-07-19 06:42:45.171
15,1,2025-07-21 16:00:00.000,2025-07-21 23:00:00.000,"63-64",2025-07-19 00:00:00.000,1,185,S,N,3.50,26.00,36,0.00,77,9003,< 10 km,2025-07-19 06:43:15.171,2025-07-19 06:43:15.171
16,1,2025-07-19 10:00:00.000,2025-07-19 17:00:00.000,"9-10",2025-07-19 00:00:00.000,3,22,N,S,4.60,28.00,100,0.00,70,8986,< 9 km,2025-07-19 06:43:45.109,2025-07-19 06:43:45.109
17,1,2025-07-19 13:00:00.000,2025-07-19 20:00:00.000,"12-13",2025-07-19 00:00:00.000,3,191,S,N,4.10,26.00,100,0.10,81,8998,< 9 km,2025-07-19 06:44:15.118,2025-07-19 06:44:15.118
18,1,2025-07-19 16:00:00.000,2025-07-19 23:00:00.000,"15-16",2025-07-19 00:00:00.000,3,189,S,N,4.40,25.00,100,0.00,83,9015,< 10 km,2025-07-19 06:44:15.172,2025-07-19 06:44:15.172
19,1,2025-07-19 19:00:00.000,2025-07-20 02:00:00.000,"18-19",2025-07-19 00:00:00.000,3,188,S,N,5.00,24.00,99,0.00,84,8988,< 9 km,2025-07-19 06:44:45.143,2025-07-19 06:44:45.143
20,1,2025-07-19 22:00:00.000,2025-07-20 05:00:00.000,"21-22",2025-07-19 00:00:00.000,1,184,S,N,6.60,23.00,46,0.00,86,8997,< 9 km,2025-07-19 06:44:45.206,2025-07-19 06:44:45.206
21,2,2025-07-19 10:00:00.000,2025-07-19 17:00:00.000,"9-10",2025-07-19 00:00:00.000,3,22,N,S,4.60,28.00,100,0.00,66,8986,< 9 km,2025-07-19 06:45:45.127,2025-07-19 06:45:45.127
22,2,2025-07-19 07:00:00.000,2025-07-19 14:00:00.000,"6-7",2025-07-19 00:00:00.000,1,92,E,W,5.30,33.00,40,0.00,42,8996,< 9 km,2025-07-19 06:45:45.141,2025-07-19 06:45:45.141
23,2,2025-07-19 13:00:00.000,2025-07-19 20:00:00.000,"12-13",2025-07-19 00:00:00.000,3,191,S,N,4.10,26.00,100,0.20,82,8998,< 9 km,2025-07-19 06:46:15.167,2025-07-19 06:46:15.167
24,2,2025-07-19 16:00:00.000,2025-07-19 23:00:00.000,"15-16",2025-07-19 00:00:00.000,3,189,S,N,4.40,24.00,100,0.00,83,9015,< 10 km,2025-07-19 06:46:15.202,2025-07-19 06:46:15.202
25,2,2025-07-19 19:00:00.000,2025-07-20 02:00:00.000,"18-19",2025-07-19 00:00:00.000,3,188,S,N,5.00,23.00,99,0.00,85,8988,< 9 km,2025-07-19 06:46:45.195,2025-07-19 06:46:45.195
