"location_id","subdistrict_name","district_name","city_name","province_name","latitude","longitude","timezone","created_at","updated_at"
"32.01.01.1001",Pondok Rajeg,Cibinong,Bogor,Jawa Barat,-6.45630019,106.81987843,Asia/Jakarta,2025-07-18 11:41:48.096,2025-07-18 11:41:48.096
"32.01.01.1002",Karadenan,Cibinong,Bogor,Jawa Barat,-6.51694652,106.81044882,Asia/Jakarta,2025-07-18 11:41:48.125,2025-07-18 11:41:48.125
"32.01.01.1003",Harapanjaya,Cibinong,Bogor,Jawa Barat,-6.46144199,106.83599587,Asia/Jakarta,2025-07-18 11:41:48.147,2025-07-18 11:41:48.147
"32.01.01.1004",Nanggewer,Cibinong,Bogor,Jawa Barat,-6.51212388,106.82931177,Asia/Jakarta,2025-07-18 11:41:48.175,2025-07-18 11:41:48.175
"32.01.01.1005",Nanggewer Mekar,Cibinong,Bogor,Jawa Barat,-6.50332807,106.83567890,Asia/Jakarta,2025-07-18 11:41:48.197,2025-07-18 11:41:48.197
"32.01.01.1006",Cibinong,Cibinong,Bogor,Jawa Barat,-6.48947964,106.85314415,Asia/Jakarta,2025-07-18 11:41:48.220,2025-07-18 11:41:48.220
"32.01.01.1007",Pakansari,Cibinong,Bogor,Jawa Barat,-6.48806195,106.83497864,Asia/Jakarta,2025-07-18 11:41:48.245,2025-07-18 11:41:48.245
"32.01.01.1008",Tengah,Cibinong,Bogor,Jawa Barat,-6.47658502,106.82597583,Asia/Jakarta,2025-07-18 11:41:48.270,2025-07-18 11:41:48.270
"32.01.01.1009",Sukahati,Cibinong,Bogor,Jawa Barat,-6.49301256,106.81281704,Asia/Jakarta,2025-07-18 11:41:48.299,2025-07-18 11:41:48.299
"32.01.01.1010",Ciriung,Cibinong,Bogor,Jawa Barat,-6.46549182,106.86606201,Asia/Jakarta,2025-07-18 11:41:48.326,2025-07-18 11:41:48.326
"32.01.01.1011",Cirimekar,Cibinong,Bogor,Jawa Barat,-6.47394458,106.85606641,Asia/Jakarta,2025-07-18 11:41:48.352,2025-07-18 11:41:48.352
"32.01.01.1012",Pabuaran,Cibinong,Bogor,Jawa Barat,-6.46258323,106.84895320,Asia/Jakarta,2025-07-18 11:41:48.375,2025-07-18 11:41:48.375
"32.01.01.1013",Pabuaran Mekar,Cibinong,Bogor,Jawa Barat,-6.44475686,106.84808445,Asia/Jakarta,2025-07-18 11:41:48.399,2025-07-18 11:41:48.399
"32.01.02.2001",Wanaherang,Gunung Putri,Bogor,Jawa Barat,-6.41648170,106.94501393,Asia/Jakarta,2025-07-18 11:41:48.601,2025-07-18 11:41:48.601
"32.01.02.2002",Bojong Kulur,Gunung Putri,Bogor,Jawa Barat,-6.32120315,106.96935171,Asia/Jakarta,2025-07-18 11:41:48.625,2025-07-18 11:41:48.625
"32.01.02.2003",Ciangsana,Gunung Putri,Bogor,Jawa Barat,-6.35602236,106.95875407,Asia/Jakarta,2025-07-18 11:41:48.659,2025-07-18 11:41:48.659
"32.01.02.2004",Gunung Putri,Gunung Putri,Bogor,Jawa Barat,-6.46254720,106.89443650,Asia/Jakarta,2025-07-18 11:41:48.694,2025-07-18 11:41:48.694
"32.01.02.2005",Bojong Nangka,Gunung Putri,Bogor,Jawa Barat,-6.43132672,106.90253305,Asia/Jakarta,2025-07-18 11:41:48.743,2025-07-18 11:41:48.743
"32.01.02.2006",Tlajung Udik,Gunung Putri,Bogor,Jawa Barat,-6.44598697,106.91390333,Asia/Jakarta,2025-07-18 11:41:48.771,2025-07-18 11:41:48.771
"32.01.02.2007",Cicadas,Gunung Putri,Bogor,Jawa Barat,-6.43239257,106.92811793,Asia/Jakarta,2025-07-18 11:41:48.798,2025-07-18 11:41:48.798
"32.01.02.2008",Cikeas Udik,Gunung Putri,Bogor,Jawa Barat,-6.40387832,106.92717446,Asia/Jakarta,2025-07-18 11:41:48.820,2025-07-18 11:41:48.820
"32.01.02.2009",Nagrak,Gunung Putri,Bogor,Jawa Barat,-6.38499170,106.94592534,Asia/Jakarta,2025-07-18 11:41:48.840,2025-07-18 11:41:48.840
"32.01.02.2010",Karanggan,Gunung Putri,Bogor,Jawa Barat,-6.45664754,106.88574465,Asia/Jakarta,2025-07-18 11:41:48.863,2025-07-18 11:41:48.863
"32.01.03.2001",Puspasari,Citeureup,Bogor,Jawa Barat,-6.47613118,106.87450418,Asia/Jakarta,2025-07-18 11:41:49.024,2025-07-18 11:41:49.024
"32.01.03.2002",Citeureup,Citeureup,Bogor,Jawa Barat,-6.48060589,106.89257468,Asia/Jakarta,2025-07-18 11:41:49.053,2025-07-18 11:41:49.053
"32.01.04.2004",Cibanon,Sukaraja,Bogor,Jawa Barat,-6.62925948,106.84411215,Asia/Jakarta,2025-07-18 11:41:49.084,2025-07-18 11:41:49.084
"32.01.04.2005",Nagrak,Sukaraja,Bogor,Jawa Barat,-6.61833442,106.85581560,Asia/Jakarta,2025-07-18 11:41:49.115,2025-07-18 11:41:49.115
"32.01.04.2006",Sukatani,Sukaraja,Bogor,Jawa Barat,-6.60872126,106.84103067,Asia/Jakarta,2025-07-18 11:41:49.137,2025-07-18 11:41:49.137
"32.01.04.2007",Sukaraja,Sukaraja,Bogor,Jawa Barat,-6.60042934,106.83567740,Asia/Jakarta,2025-07-18 11:41:49.166,2025-07-18 11:41:49.166
"32.01.04.2008",Cikeas,Sukaraja,Bogor,Jawa Barat,-6.59161727,106.84877298,Asia/Jakarta,2025-07-18 11:41:49.195,2025-07-18 11:41:49.195
"32.01.04.2009",Pasir Jambu,Sukaraja,Bogor,Jawa Barat,-6.53540122,106.81044686,Asia/Jakarta,2025-07-18 11:41:49.218,2025-07-18 11:41:49.218
"32.01.04.2010",Cimandala,Sukaraja,Bogor,Jawa Barat,-6.52975059,106.82442352,Asia/Jakarta,2025-07-18 11:41:49.255,2025-07-18 11:41:49.255
"32.01.04.2011",Cijujung,Sukaraja,Bogor,Jawa Barat,-6.53097045,106.83671739,Asia/Jakarta,2025-07-18 11:41:49.284,2025-07-18 11:41:49.284
"32.01.04.2012",Cadasngampar,Sukaraja,Bogor,Jawa Barat,-6.57344394,106.84099789,Asia/Jakarta,2025-07-18 11:41:49.316,2025-07-18 11:41:49.316
"32.01.04.2013",Pasirlaja,Sukaraja,Bogor,Jawa Barat,-6.55107600,106.83655408,Asia/Jakarta,2025-07-18 11:41:49.340,2025-07-18 11:41:49.340
"32.01.05.2001",Cijayanti,Babakan Madang,Bogor,Jawa Barat,-6.60189311,106.87024075,Asia/Jakarta,2025-07-18 11:41:49.363,2025-07-18 11:41:49.363
"32.01.05.2002",Sumurbatu,Babakan Madang,Bogor,Jawa Barat,-6.57733591,106.87883944,Asia/Jakarta,2025-07-18 11:41:49.389,2025-07-18 11:41:49.389
"32.01.05.2003",Sentul,Babakan Madang,Bogor,Jawa Barat,-6.52098799,106.85133516,Asia/Jakarta,2025-07-18 11:41:49.419,2025-07-18 11:41:49.419
"32.01.05.2004",Karang Tengah,Babakan Madang,Bogor,Jawa Barat,-6.59841004,106.93723018,Asia/Jakarta,2025-07-18 11:41:49.440,2025-07-18 11:41:49.440
"32.01.05.2005",Cipambuan,Babakan Madang,Bogor,Jawa Barat,-6.55755646,106.84574629,Asia/Jakarta,2025-07-18 11:41:49.463,2025-07-18 11:41:49.463
"32.01.05.2006",Kadumanggu,Babakan Madang,Bogor,Jawa Barat,-6.54483353,106.85484562,Asia/Jakarta,2025-07-18 11:41:49.490,2025-07-18 11:41:49.490
"32.01.05.2007",Citaringgul,Babakan Madang,Bogor,Jawa Barat,-6.56893897,106.85475499,Asia/Jakarta,2025-07-18 11:41:49.514,2025-07-18 11:41:49.514
"32.01.05.2008",Babakan Madang,Babakan Madang,Bogor,Jawa Barat,-6.56514878,106.86693356,Asia/Jakarta,2025-07-18 11:41:49.533,2025-07-18 11:41:49.533
"32.01.05.2009",Bojong Koneng,Babakan Madang,Bogor,Jawa Barat,-6.61038936,106.90618917,Asia/Jakarta,2025-07-18 11:41:49.553,2025-07-18 11:41:49.553
"32.01.06.2001",Sukamaju,Jonggol,Bogor,Jawa Barat,-6.44991713,107.04995682,Asia/Jakarta,2025-07-18 11:41:49.707,2025-07-18 11:41:49.707
"32.01.06.2002",Sirnagalih,Jonggol,Bogor,Jawa Barat,-6.47321252,107.09047565,Asia/Jakarta,2025-07-18 11:41:49.733,2025-07-18 11:41:49.733
"32.01.06.2003",Singajaya,Jonggol,Bogor,Jawa Barat,-6.47079738,107.04570858,Asia/Jakarta,2025-07-18 11:41:49.755,2025-07-18 11:41:49.755
"32.01.06.2004",Sukasirna,Jonggol,Bogor,Jawa Barat,-6.49643712,107.05586499,Asia/Jakarta,2025-07-18 11:41:49.777,2025-07-18 11:41:49.777
"32.01.06.2005",Sukanegara,Jonggol,Bogor,Jawa Barat,-6.52217975,107.03611758,Asia/Jakarta,2025-07-18 11:41:49.801,2025-07-18 11:41:49.801
"32.01.06.2006",Sukamanah,Jonggol,Bogor,Jawa Barat,-6.44324103,107.06591981,Asia/Jakarta,2025-07-18 11:41:49.824,2025-07-18 11:41:49.824
"32.01.06.2007",Weninggalih,Jonggol,Bogor,Jawa Barat,-6.46161874,107.10020674,Asia/Jakarta,2025-07-18 11:41:49.849,2025-07-18 11:41:49.849
"32.01.06.2008",Cibodas,Jonggol,Bogor,Jawa Barat,-6.50890343,107.01213674,Asia/Jakarta,2025-07-18 11:41:49.873,2025-07-18 11:41:49.873
"32.01.06.2009",Jonggol,Jonggol,Bogor,Jawa Barat,-6.46440748,107.07309307,Asia/Jakarta,2025-07-18 11:41:49.898,2025-07-18 11:41:49.898
"32.01.06.2010",Bendungan,Jonggol,Bogor,Jawa Barat,-6.49246278,107.08639962,Asia/Jakarta,2025-07-18 11:41:49.917,2025-07-18 11:41:49.917
"32.01.06.2011",Singasari,Jonggol,Bogor,Jawa Barat,-6.47370587,107.01648166,Asia/Jakarta,2025-07-18 11:41:49.941,2025-07-18 11:41:49.941
"32.01.06.2012",Balekambang,Jonggol,Bogor,Jawa Barat,-6.51179318,107.08620799,Asia/Jakarta,2025-07-18 11:41:49.965,2025-07-18 11:41:49.965
"32.01.06.2013",Sukajaya,Jonggol,Bogor,Jawa Barat,-6.55037720,107.01335299,Asia/Jakarta,2025-07-18 11:41:49.998,2025-07-18 11:41:49.998
